,Date,Pattern,Time
0,6 December 2021,Awake, 23:46-00:09
1,6 December 2021,Light, 00:09-00:43
2,6 December 2021,Deep, 00:43-01:37
3,6 December 2021,Light, 01:37-01:57
4,6 December 2021,REM, 01:57-02:23
5,6 December 2021,Light, 02:23-02:39
6,6 December 2021,Deep, 02:39-03:01
7,6 December 2021,Light, 03:01-03:18
8,6 December 2021,Deep, 03:18-03:19
9,6 December 2021,Awake, 03:19-03:26
10,6 December 2021,Awake, 03:19-03:26
11,6 December 2021,Light, 03:27-03:35
12,6 December 2021,Awake, 03:35-03:41
13,6 December 2021,Light, 03:41-03:57
14,6 December 2021,Deep, 03:57-04:07
15,6 December 2021,Light, 04:07-04:23
16,6 December 2021,Light, 04:07-04:23
17,6 December 2021,REM, 04:25-04:39
18,6 December 2021,Light, 04:39-05:24
19,6 December 2021,Deep, 05:24-05:47
20,6 December 2021,Light, 05:47-06:44
21,6 December 2021,REM, 06:44-06:58
22,6 December 2021,Light, 06:58-07:07
23,5 December 2021,Awake, 00:47-01:03
24,5 December 2021,Light, 01:03-01:10
25,5 December 2021,Awake, 01:10-01:43
26,5 December 2021,Awake, 01:10-01:43
27,5 December 2021,Awake, 01:45-01:49
28,5 December 2021,Light, 01:49-02:15
29,5 December 2021,Deep, 02:15-03:00
30,5 December 2021,REM, 03:00-03:32
31,5 December 2021,Light, 03:32-03:52
32,5 December 2021,Deep, 03:52-04:18
33,5 December 2021,REM, 04:18-04:59
34,5 December 2021,Light, 04:59-06:12
35,5 December 2021,Awake, 06:12-06:24
36,5 December 2021,Light, 06:24-06:34
37,5 December 2021,REM, 06:34-07:32
38,5 December 2021,Light, 07:32-08:22
39,5 December 2021,Light, 07:32-08:22
40,5 December 2021,Light, 08:32-08:57
41,5 December 2021,Awake, 08:57-09:04
42,5 December 2021,Light, 09:04-09:28
43,5 December 2021,Light, 09:04-09:28
44,5 December 2021,Awake, 09:31-09:38
45,5 December 2021,REM, 09:38-09:43
46,5 December 2021,Light, 09:43-10:02
47,4 December 2021,Awake, 02:51-03:14
48,4 December 2021,Deep, 03:14-04:28
49,4 December 2021,REM, 04:28-04:40
50,4 December 2021,Light, 04:40-05:27
51,4 December 2021,Deep, 05:27-05:39
52,4 December 2021,Light, 05:39-05:45
53,4 December 2021,Awake, 05:45-05:52
54,4 December 2021,Light, 05:52-06:02
55,4 December 2021,REM, 06:02-06:44
56,4 December 2021,Light, 06:44-07:08
57,4 December 2021,Deep, 07:08-07:45
58,4 December 2021,REM, 07:45-08:49
59,3 December 2021,Awake, 00:16-01:11
60,3 December 2021,Light, 01:11-01:20
61,3 December 2021,Deep, 01:20-02:17
62,3 December 2021,Light, 02:17-02:29
63,3 December 2021,Deep, 02:29-03:24
64,3 December 2021,Light, 03:24-03:34
65,3 December 2021,Awake, 03:34-03:40
66,3 December 2021,Light, 03:40-04:19
67,3 December 2021,Deep, 04:19-04:46
68,3 December 2021,Light, 04:46-05:14
69,3 December 2021,Awake, 05:14-05:21
70,3 December 2021,Light, 05:21-05:36
71,3 December 2021,REM, 05:36-06:28
72,3 December 2021,Light, 06:28-06:51
73,3 December 2021,Deep, 06:51-07:05
74,3 December 2021,Light, 07:05-07:47
75,3 December 2021,REM, 07:47-08:13
76,3 December 2021,Light, 08:13-08:41
77,3 December 2021,Deep, 08:41-08:52
78,3 December 2021,Awake, 08:52-09:09
79,2 December 2021,Awake, 00:32-01:02
80,2 December 2021,Light, 01:02-01:04
81,2 December 2021,Awake, 01:04-01:11
82,2 December 2021,Light, 01:11-01:29
83,2 December 2021,Deep, 01:29-01:47
84,2 December 2021,Light, 01:47-01:57
85,2 December 2021,Deep, 01:57-02:26
86,2 December 2021,Light, 02:26-03:08
87,2 December 2021,Deep, 03:08-03:26
88,2 December 2021,Light, 03:26-03:59
89,2 December 2021,REM, 03:59-04:29
90,2 December 2021,Light, 04:29-05:04
91,2 December 2021,Deep, 05:04-05:37
92,2 December 2021,REM, 05:37-06:20
93,2 December 2021,Light, 06:20-06:33
94,2 December 2021,Deep, 06:33-07:00
95,2 December 2021,Light, 07:00-07:12
96,2 December 2021,REM, 07:12-07:26
97,2 December 2021,Light, 07:26-07:36
98,2 December 2021,REM, 07:36-07:45
99,2 December 2021,REM, 07:36-07:45
