Duration,In,Out,Light Sleep,Deep Sleep,REM Sleep,Score,BPM,Awake,Interruptions,TTS,Date
436,2021-11-11 00:30:00,2021-11-11 08:21:00,258,134,44,85,57,28,5,11,2021-11-11
376,2021-11-12 00:54:00,2021-11-12 07:53:00,185,123,68,72,56,43,1,13,2021-11-12
431,2021-11-13 00:10:00,2021-11-13 08:25:00,211,155,65,86,59,57,4,41,2021-11-13
399,2021-11-14 00:14:00,2021-11-14 07:50:00,198,123,78,80,53,55,2,48,2021-11-14
412,2021-11-14 23:38:00,2021-11-15 08:04:00,224,120,68,77,58,94,3,52,2021-11-15
362,2021-11-16 01:27:00,2021-11-16 07:50:00,146,114,102,73,52,21,0,21,2021-11-16
404,2021-11-16 22:52:00,2021-11-17 07:11:00,143,140,121,73,56,95,2,63,2021-11-17
383,2021-11-18 01:34:00,2021-11-18 08:02:00,115,152,116,80,58,5,0,5,2021-11-18
408,2021-11-19 00:24:00,2021-11-19 07:50:00,211,165,32,82,56,35,1,35,2021-11-19
449,2021-11-20 00:13:00,2021-11-20 08:10:00,165,171,113,95,54,28,1,20,2021-11-20
418,2021-11-21 00:27:00,2021-11-21 08:39:00,225,127,66,77,58,71,1,41,2021-11-21
462,2021-11-21 23:32:00,2021-11-22 08:10:00,264,109,89,88,53,51,5,11,2021-11-22
417,2021-11-22 23:35:00,2021-11-23 07:55:00,241,97,79,80,56,83,2,69,2021-11-23
408,2021-11-23 23:49:00,2021-11-24 07:55:00,126,167,115,83,57,78,1,72,2021-11-24
372,2021-11-24 23:40:00,2021-11-25 07:27:00,169,151,52,69,57,95,0,86,2021-11-25
409,2021-11-26 00:28:00,2021-11-26 07:51:00,226,105,78,82,65,32,2,23,2021-11-26
442,2021-11-26 23:47:00,2021-11-27 09:00:00,232,166,44,80,60,108,4,51,2021-11-27
13,2021-11-27 18:54:00,2021-11-27 19:47:00,13,0,0,20,70,40,0,14,2021-11-27
361,2021-11-28 01:13:00,2021-11-28 08:19:00,158,153,50,63,69,65,4,29,2021-11-28
416,2021-11-28 23:41:00,2021-11-29 07:43:00,196,134,86,85,58,66,2,50,2021-11-29
473,2021-11-29 22:13:00,2021-11-30 07:48:00,194,143,136,82,58,97,5,36,2021-11-30
337,2021-12-01 01:03:00,2021-12-01 07:47:00,121,151,65,56,59,67,1,61,2021-12-01
495,2021-12-02 00:32:00,2021-12-02 09:30:00,229,146,120,92,60,38,3,30,2021-12-02
448,2021-12-03 00:16:00,2021-12-03 09:09:00,206,164,78,83,59,85,2,55,2021-12-03
328,2021-12-04 02:51:00,2021-12-04 08:49:00,87,123,118,54,65,30,1,23,2021-12-04
464,2021-12-05 00:47:00,2021-12-05 10:02:00,254,71,139,86,59,79,5,16,2021-12-05
