Pattern,Start,End,Date
Awake,2021-12-06 23:46:00,2021-12-06 00:09:00,2021-12-06
Light,2021-12-06 00:09:00,2021-12-06 00:43:00,2021-12-06
Deep,2021-12-06 00:43:00,2021-12-06 01:37:00,2021-12-06
Light,2021-12-06 01:37:00,2021-12-06 01:57:00,2021-12-06
REM,2021-12-06 01:57:00,2021-12-06 02:23:00,2021-12-06
Light,2021-12-06 02:23:00,2021-12-06 02:39:00,2021-12-06
Deep,2021-12-06 02:39:00,2021-12-06 03:01:00,2021-12-06
Light,2021-12-06 03:01:00,2021-12-06 03:18:00,2021-12-06
Deep,2021-12-06 03:18:00,2021-12-06 03:19:00,2021-12-06
Awake,2021-12-06 03:19:00,2021-12-06 03:26:00,2021-12-06
Awake,2021-12-06 03:19:00,2021-12-06 03:26:00,2021-12-06
Light,2021-12-06 03:27:00,2021-12-06 03:35:00,2021-12-06
Awake,2021-12-06 03:35:00,2021-12-06 03:41:00,2021-12-06
Light,2021-12-06 03:41:00,2021-12-06 03:57:00,2021-12-06
Deep,2021-12-06 03:57:00,2021-12-06 04:07:00,2021-12-06
Light,2021-12-06 04:07:00,2021-12-06 04:23:00,2021-12-06
Light,2021-12-06 04:07:00,2021-12-06 04:23:00,2021-12-06
REM,2021-12-06 04:25:00,2021-12-06 04:39:00,2021-12-06
Light,2021-12-06 04:39:00,2021-12-06 05:24:00,2021-12-06
Deep,2021-12-06 05:24:00,2021-12-06 05:47:00,2021-12-06
Light,2021-12-06 05:47:00,2021-12-06 06:44:00,2021-12-06
REM,2021-12-06 06:44:00,2021-12-06 06:58:00,2021-12-06
Light,2021-12-06 06:58:00,2021-12-06 07:07:00,2021-12-06
Awake,2021-12-05 00:47:00,2021-12-05 01:03:00,2021-12-05
Light,2021-12-05 01:03:00,2021-12-05 01:10:00,2021-12-05
Awake,2021-12-05 01:10:00,2021-12-05 01:43:00,2021-12-05
Awake,2021-12-05 01:10:00,2021-12-05 01:43:00,2021-12-05
Awake,2021-12-05 01:45:00,2021-12-05 01:49:00,2021-12-05
Light,2021-12-05 01:49:00,2021-12-05 02:15:00,2021-12-05
Deep,2021-12-05 02:15:00,2021-12-05 03:00:00,2021-12-05
REM,2021-12-05 03:00:00,2021-12-05 03:32:00,2021-12-05
Light,2021-12-05 03:32:00,2021-12-05 03:52:00,2021-12-05
Deep,2021-12-05 03:52:00,2021-12-05 04:18:00,2021-12-05
REM,2021-12-05 04:18:00,2021-12-05 04:59:00,2021-12-05
Light,2021-12-05 04:59:00,2021-12-05 06:12:00,2021-12-05
Awake,2021-12-05 06:12:00,2021-12-05 06:24:00,2021-12-05
Light,2021-12-05 06:24:00,2021-12-05 06:34:00,2021-12-05
REM,2021-12-05 06:34:00,2021-12-05 07:32:00,2021-12-05
Light,2021-12-05 07:32:00,2021-12-05 08:22:00,2021-12-05
Light,2021-12-05 07:32:00,2021-12-05 08:22:00,2021-12-05
Light,2021-12-05 08:32:00,2021-12-05 08:57:00,2021-12-05
Awake,2021-12-05 08:57:00,2021-12-05 09:04:00,2021-12-05
Light,2021-12-05 09:04:00,2021-12-05 09:28:00,2021-12-05
Light,2021-12-05 09:04:00,2021-12-05 09:28:00,2021-12-05
Awake,2021-12-05 09:31:00,2021-12-05 09:38:00,2021-12-05
REM,2021-12-05 09:38:00,2021-12-05 09:43:00,2021-12-05
Light,2021-12-05 09:43:00,2021-12-05 10:02:00,2021-12-05
Awake,2021-12-04 02:51:00,2021-12-04 03:14:00,2021-12-04
Deep,2021-12-04 03:14:00,2021-12-04 04:28:00,2021-12-04
REM,2021-12-04 04:28:00,2021-12-04 04:40:00,2021-12-04
Light,2021-12-04 04:40:00,2021-12-04 05:27:00,2021-12-04
Deep,2021-12-04 05:27:00,2021-12-04 05:39:00,2021-12-04
Light,2021-12-04 05:39:00,2021-12-04 05:45:00,2021-12-04
Awake,2021-12-04 05:45:00,2021-12-04 05:52:00,2021-12-04
Light,2021-12-04 05:52:00,2021-12-04 06:02:00,2021-12-04
REM,2021-12-04 06:02:00,2021-12-04 06:44:00,2021-12-04
Light,2021-12-04 06:44:00,2021-12-04 07:08:00,2021-12-04
Deep,2021-12-04 07:08:00,2021-12-04 07:45:00,2021-12-04
REM,2021-12-04 07:45:00,2021-12-04 08:49:00,2021-12-04
Awake,2021-12-03 00:16:00,2021-12-03 01:11:00,2021-12-03
Light,2021-12-03 01:11:00,2021-12-03 01:20:00,2021-12-03
Deep,2021-12-03 01:20:00,2021-12-03 02:17:00,2021-12-03
Light,2021-12-03 02:17:00,2021-12-03 02:29:00,2021-12-03
Deep,2021-12-03 02:29:00,2021-12-03 03:24:00,2021-12-03
Light,2021-12-03 03:24:00,2021-12-03 03:34:00,2021-12-03
Awake,2021-12-03 03:34:00,2021-12-03 03:40:00,2021-12-03
Light,2021-12-03 03:40:00,2021-12-03 04:19:00,2021-12-03
Deep,2021-12-03 04:19:00,2021-12-03 04:46:00,2021-12-03
Light,2021-12-03 04:46:00,2021-12-03 05:14:00,2021-12-03
Awake,2021-12-03 05:14:00,2021-12-03 05:21:00,2021-12-03
Light,2021-12-03 05:21:00,2021-12-03 05:36:00,2021-12-03
REM,2021-12-03 05:36:00,2021-12-03 06:28:00,2021-12-03
Light,2021-12-03 06:28:00,2021-12-03 06:51:00,2021-12-03
Deep,2021-12-03 06:51:00,2021-12-03 07:05:00,2021-12-03
Light,2021-12-03 07:05:00,2021-12-03 07:47:00,2021-12-03
REM,2021-12-03 07:47:00,2021-12-03 08:13:00,2021-12-03
Light,2021-12-03 08:13:00,2021-12-03 08:41:00,2021-12-03
Deep,2021-12-03 08:41:00,2021-12-03 08:52:00,2021-12-03
Awake,2021-12-03 08:52:00,2021-12-03 09:09:00,2021-12-03
Awake,2021-12-02 00:32:00,2021-12-02 01:02:00,2021-12-02
Light,2021-12-02 01:02:00,2021-12-02 01:04:00,2021-12-02
Awake,2021-12-02 01:04:00,2021-12-02 01:11:00,2021-12-02
Light,2021-12-02 01:11:00,2021-12-02 01:29:00,2021-12-02
Deep,2021-12-02 01:29:00,2021-12-02 01:47:00,2021-12-02
Light,2021-12-02 01:47:00,2021-12-02 01:57:00,2021-12-02
Deep,2021-12-02 01:57:00,2021-12-02 02:26:00,2021-12-02
Light,2021-12-02 02:26:00,2021-12-02 03:08:00,2021-12-02
Deep,2021-12-02 03:08:00,2021-12-02 03:26:00,2021-12-02
Light,2021-12-02 03:26:00,2021-12-02 03:59:00,2021-12-02
REM,2021-12-02 03:59:00,2021-12-02 04:29:00,2021-12-02
Light,2021-12-02 04:29:00,2021-12-02 05:04:00,2021-12-02
Deep,2021-12-02 05:04:00,2021-12-02 05:37:00,2021-12-02
REM,2021-12-02 05:37:00,2021-12-02 06:20:00,2021-12-02
Light,2021-12-02 06:20:00,2021-12-02 06:33:00,2021-12-02
Deep,2021-12-02 06:33:00,2021-12-02 07:00:00,2021-12-02
Light,2021-12-02 07:00:00,2021-12-02 07:12:00,2021-12-02
REM,2021-12-02 07:12:00,2021-12-02 07:26:00,2021-12-02
Light,2021-12-02 07:26:00,2021-12-02 07:36:00,2021-12-02
