Humidity,Temperature,Light,Time stamp,Date
62.2,20.0,1256,2021-11-13 18:45:09.004,2021-11-13
62.6,20.0,1755,2021-11-13 19:06:48.147,2021-11-13
64.7,19.8,1747,2021-11-13 19:16:49.476,2021-11-13
65.4,19.5,1736,2021-11-13 19:26:50.661,2021-11-13
65.1,19.4,1738,2021-11-13 19:36:51.835,2021-11-13
64.7,19.4,1737,2021-11-13 19:46:54.095,2021-11-13
65.3,19.3,1739,2021-11-13 19:56:55.202,2021-11-13
66.3,19.3,1734,2021-11-13 20:06:56.269,2021-11-13
68.5,19.3,1727,2021-11-13 20:16:57.428,2021-11-13
68.3,19.3,1733,2021-11-13 20:26:58.667,2021-11-13
67.7,19.3,1728,2021-11-13 20:36:59.875,2021-11-13
66.8,19.3,1732,2021-11-13 20:47:00.952,2021-11-13
66.1,19.2,1738,2021-11-13 20:57:02.146,2021-11-13
65.1,19.2,1730,2021-11-13 21:07:03.349,2021-11-13
64.5,19.2,1735,2021-11-13 21:17:05.020,2021-11-13
64.3,19.2,1730,2021-11-13 21:27:06.306,2021-11-13
63.1,19.2,1733,2021-11-13 21:37:07.556,2021-11-13
61.5,19.1,1735,2021-11-13 21:47:08.871,2021-11-13
60.6,19.1,1737,2021-11-13 21:57:12.408,2021-11-13
59.9,19.0,1735,2021-11-13 22:07:13.679,2021-11-13
58.8,19.0,1754,2021-11-13 22:17:14.762,2021-11-13
58.4,18.9,1776,2021-11-13 22:27:16.048,2021-11-13
59.5,18.9,1773,2021-11-13 22:37:17.170,2021-11-13
60.0,19.2,1774,2021-11-13 22:47:18.540,2021-11-13
60.0,19.2,1775,2021-11-13 22:57:19.969,2021-11-13
60.7,19.3,1769,2021-11-13 23:07:21.140,2021-11-13
61.1,19.1,1763,2021-11-13 23:17:22.308,2021-11-13
61.9,19.2,1769,2021-11-13 23:27:23.561,2021-11-13
62.1,19.4,1785,2021-11-13 23:37:24.783,2021-11-13
61.4,19.4,1779,2021-11-13 23:47:26.067,2021-11-13
62.3,19.2,1782,2021-11-13 23:57:27.387,2021-11-13
63.3,19.3,1773,2021-11-14 00:07:28.680,2021-11-14
63.6,19.4,310,2021-11-14 00:17:29.821,2021-11-14
63.0,19.4,0,2021-11-14 00:27:31.418,2021-11-14
64.0,19.4,0,2021-11-14 00:37:32.698,2021-11-14
64.5,19.2,0,2021-11-14 00:47:34.225,2021-11-14
64.4,19.3,0,2021-11-14 00:57:35.724,2021-11-14
64.5,19.3,0,2021-11-14 01:07:36.954,2021-11-14
65.1,19.2,0,2021-11-14 01:17:38.182,2021-11-14
65.3,19.2,0,2021-11-14 01:27:39.798,2021-11-14
65.3,19.2,0,2021-11-14 01:37:41.177,2021-11-14
65.5,19.1,0,2021-11-14 01:47:42.353,2021-11-14
65.2,19.1,0,2021-11-14 01:57:43.953,2021-11-14
65.2,19.1,0,2021-11-14 02:07:45.327,2021-11-14
65.6,19.0,0,2021-11-14 02:17:46.609,2021-11-14
65.7,19.1,0,2021-11-14 02:27:47.773,2021-11-14
