,Date,Pattern,Time
0,13 December 2021,Awake, 00:29-01:32
1,13 December 2021,Light, 01:32-01:38
2,13 December 2021,Deep, 01:38-02:37
3,13 December 2021,Light, 02:37-02:54
4,13 December 2021,Deep, 02:54-03:38
5,13 December 2021,Light, 03:38-04:36
6,13 December 2021,Deep, 04:36-05:20
7,13 December 2021,Awake, 05:20-05:26
8,13 December 2021,REM, 05:26-06:29
9,13 December 2021,Light, 06:29-06:49
10,13 December 2021,Deep, 06:49-07:00
11,13 December 2021,Deep, 06:49-07:00
12,13 December 2021,Deep, 06:49-07:00
13,13 December 2021,Awake, 07:02-07:04
14,13 December 2021,Light, 07:05-07:10
15,13 December 2021,Awake, 07:10-07:30
16,13 December 2021,Light, 07:30-07:42
17,12 December 2021,Awake, 01:01-01:49
18,12 December 2021,Light, 01:49-01:56
19,12 December 2021,Deep, 01:56-02:36
20,12 December 2021,Light, 02:36-03:16
21,12 December 2021,Deep, 03:16-04:05
22,12 December 2021,Light, 04:05-04:15
23,12 December 2021,REM, 04:15-04:35
24,12 December 2021,Light, 04:35-04:55
25,12 December 2021,Deep, 04:55-05:08
26,12 December 2021,Light, 05:08-06:06
27,12 December 2021,REM, 06:06-06:26
28,12 December 2021,REM, 06:06-06:26
29,12 December 2021,Awake, 06:27-06:30
30,12 December 2021,REM, 06:30-06:35
31,12 December 2021,Light, 06:35-06:58
32,12 December 2021,Deep, 06:58-07:30
33,12 December 2021,Light, 07:30-07:49
34,12 December 2021,REM, 07:49-08:02
35,12 December 2021,Awake, 08:02-08:11
36,11 December 2021,Awake, 01:06-01:35
37,11 December 2021,Light, 01:35-02:04
38,11 December 2021,Deep, 02:04-03:12
39,11 December 2021,Light, 03:12-03:46
40,11 December 2021,Deep, 03:46-04:35
41,11 December 2021,Awake, 04:35-04:42
42,11 December 2021,Light, 04:42-04:53
43,11 December 2021,REM, 04:53-05:23
44,11 December 2021,Light, 05:23-05:47
45,11 December 2021,Deep, 05:47-06:16
46,11 December 2021,Light, 06:16-06:30
47,11 December 2021,REM, 06:30-07:01
48,11 December 2021,REM, 06:30-07:01
49,11 December 2021,REM, 07:03-07:09
50,11 December 2021,Light, 07:09-07:39
51,11 December 2021,Deep, 07:39-07:53
52,11 December 2021,Light, 07:53-08:15
53,11 December 2021,Light, 07:53-08:15
54,11 December 2021,Light, 08:18-08:43
55,11 December 2021,Awake, 08:43-08:55
56,10 December 2021,Awake, 23:16-23:57
57,10 December 2021,Light, 23:57-00:22
58,10 December 2021,Deep, 00:22-00:33
59,10 December 2021,Light, 00:33-01:39
60,10 December 2021,Deep, 01:39-02:15
61,10 December 2021,Light, 02:15-02:35
62,10 December 2021,REM, 02:35-02:51
63,10 December 2021,Light, 02:51-03:13
64,10 December 2021,Deep, 03:13-04:02
65,10 December 2021,Awake, 04:02-04:14
66,10 December 2021,Light, 04:14-04:20
67,10 December 2021,REM, 04:20-04:55
68,10 December 2021,Light, 04:55-05:27
69,10 December 2021,Deep, 05:27-05:46
70,10 December 2021,Light, 05:46-06:07
71,10 December 2021,Light, 05:46-06:07
72,10 December 2021,Light, 06:10-06:14
73,10 December 2021,Awake, 06:14-06:28
74,10 December 2021,Light, 06:28-06:46
75,10 December 2021,Awake, 06:46-07:11
76,10 December 2021,REM, 07:11-07:23
77,10 December 2021,Light, 07:23-08:12
78,10 December 2021,Awake, 08:12-08:33
79,9 December 2021,Awake, 01:19-01:34
80,9 December 2021,Light, 01:34-01:40
81,9 December 2021,Deep, 01:40-02:07
82,9 December 2021,Light, 02:07-02:24
83,9 December 2021,Deep, 02:24-03:19
84,9 December 2021,Awake, 03:19-03:26
85,9 December 2021,Light, 03:26-03:36
86,9 December 2021,REM, 03:36-04:00
87,9 December 2021,Light, 04:00-04:41
88,9 December 2021,Deep, 04:41-05:28
89,9 December 2021,REM, 05:28-06:15
90,9 December 2021,Light, 06:15-06:29
91,9 December 2021,Light, 06:15-06:29
92,9 December 2021,Light, 06:32-06:46
93,9 December 2021,Deep, 06:46-06:56
94,9 December 2021,Light, 06:56-07:17
95,9 December 2021,REM, 07:17-07:29
96,9 December 2021,Light, 07:29-07:52
97,9 December 2021,REM, 07:52-08:06
98,9 December 2021,Light, 08:06-08:12
99,9 December 2021,Awake, 08:12-08:29
100,8 December 2021,Awake, 00:32-00:56
101,8 December 2021,Light, 00:56-01:15
102,8 December 2021,Deep, 01:15-01:40
103,8 December 2021,Light, 01:40-02:01
104,8 December 2021,Deep, 02:01-03:07
105,8 December 2021,Light, 03:07-03:17
106,8 December 2021,REM, 03:17-03:45
107,8 December 2021,Light, 03:45-03:58
108,8 December 2021,Deep, 03:58-04:54
109,8 December 2021,Light, 04:54-05:03
110,8 December 2021,REM, 05:03-05:39
111,8 December 2021,Light, 05:39-06:06
112,8 December 2021,Deep, 06:06-06:22
113,8 December 2021,REM, 06:22-06:39
114,8 December 2021,Light, 06:39-06:50
115,8 December 2021,REM, 06:50-07:09
116,8 December 2021,Awake, 07:09-07:20
117,8 December 2021,Light, 07:20-07:45
118,7 December 2021,Awake, 00:11-00:26
119,7 December 2021,Light, 00:26-00:37
120,7 December 2021,Deep, 00:37-01:22
121,7 December 2021,Light, 01:22-02:28
122,7 December 2021,REM, 02:28-02:48
123,7 December 2021,Light, 02:48-03:54
124,7 December 2021,Deep, 03:54-04:09
125,7 December 2021,Light, 04:09-04:20
126,7 December 2021,REM, 04:20-05:14
127,7 December 2021,Light, 05:14-05:32
128,7 December 2021,Deep, 05:32-05:53
129,7 December 2021,Light, 05:53-06:05
130,7 December 2021,Light, 05:53-06:05
131,7 December 2021,Light, 06:08-07:31
132,7 December 2021,Deep, 07:31-07:50
133,6 December 2021,Awake, 23:46-00:09
134,6 December 2021,Light, 00:09-00:43
135,6 December 2021,Deep, 00:43-01:37
136,6 December 2021,Light, 01:37-01:57
137,6 December 2021,REM, 01:57-02:23
138,6 December 2021,Light, 02:23-02:39
139,6 December 2021,Deep, 02:39-03:01
140,6 December 2021,Light, 03:01-03:18
141,6 December 2021,Deep, 03:18-03:19
142,6 December 2021,Awake, 03:19-03:26
143,6 December 2021,Awake, 03:19-03:26
144,6 December 2021,Light, 03:27-03:35
145,6 December 2021,Awake, 03:35-03:41
146,6 December 2021,Light, 03:41-03:57
147,6 December 2021,Deep, 03:57-04:07
148,6 December 2021,Light, 04:07-04:23
149,6 December 2021,Light, 04:07-04:23
150,6 December 2021,REM, 04:25-04:39
151,6 December 2021,Light, 04:39-05:24
152,6 December 2021,Deep, 05:24-05:47
153,6 December 2021,Light, 05:47-06:44
154,6 December 2021,REM, 06:44-06:58
155,6 December 2021,Light, 06:58-07:07
156,5 December 2021,Awake, 00:47-01:03
157,5 December 2021,Light, 01:03-01:10
158,5 December 2021,Awake, 01:10-01:43
159,5 December 2021,Awake, 01:10-01:43
160,5 December 2021,Awake, 01:45-01:49
161,5 December 2021,Light, 01:49-02:15
162,5 December 2021,Deep, 02:15-03:00
163,5 December 2021,REM, 03:00-03:32
164,5 December 2021,Light, 03:32-03:52
165,5 December 2021,Deep, 03:52-04:18
166,5 December 2021,REM, 04:18-04:59
167,5 December 2021,Light, 04:59-06:12
168,5 December 2021,Awake, 06:12-06:24
169,5 December 2021,Light, 06:24-06:34
170,5 December 2021,REM, 06:34-07:32
171,5 December 2021,Light, 07:32-08:22
172,5 December 2021,Light, 07:32-08:22
173,5 December 2021,Light, 08:32-08:57
174,5 December 2021,Awake, 08:57-09:04
175,5 December 2021,Light, 09:04-09:28
176,5 December 2021,Light, 09:04-09:28
177,5 December 2021,Awake, 09:31-09:38
178,5 December 2021,REM, 09:38-09:43
179,5 December 2021,Light, 09:43-10:02
180,4 December 2021,Awake, 02:51-03:14
181,4 December 2021,Deep, 03:14-04:28
182,4 December 2021,REM, 04:28-04:40
183,4 December 2021,Light, 04:40-05:27
184,4 December 2021,Deep, 05:27-05:39
185,4 December 2021,Light, 05:39-05:45
186,4 December 2021,Awake, 05:45-05:52
187,4 December 2021,Light, 05:52-06:02
188,4 December 2021,REM, 06:02-06:44
189,4 December 2021,Light, 06:44-07:08
190,4 December 2021,Deep, 07:08-07:45
191,4 December 2021,REM, 07:45-08:49
192,3 December 2021,Awake, 00:16-01:11
193,3 December 2021,Light, 01:11-01:20
194,3 December 2021,Deep, 01:20-02:17
195,3 December 2021,Light, 02:17-02:29
196,3 December 2021,Deep, 02:29-03:24
197,3 December 2021,Light, 03:24-03:34
198,3 December 2021,Awake, 03:34-03:40
199,3 December 2021,Light, 03:40-04:19
200,3 December 2021,Deep, 04:19-04:46
201,3 December 2021,Light, 04:46-05:14
202,3 December 2021,Awake, 05:14-05:21
203,3 December 2021,Light, 05:21-05:36
204,3 December 2021,REM, 05:36-06:28
205,3 December 2021,Light, 06:28-06:51
206,3 December 2021,Deep, 06:51-07:05
207,3 December 2021,Light, 07:05-07:47
208,3 December 2021,REM, 07:47-08:13
209,3 December 2021,Light, 08:13-08:41
210,3 December 2021,Deep, 08:41-08:52
211,3 December 2021,Awake, 08:52-09:09
212,2 December 2021,Awake, 00:32-01:02
213,2 December 2021,Light, 01:02-01:04
214,2 December 2021,Awake, 01:04-01:11
215,2 December 2021,Light, 01:11-01:29
216,2 December 2021,Deep, 01:29-01:47
217,2 December 2021,Light, 01:47-01:57
218,2 December 2021,Deep, 01:57-02:26
219,2 December 2021,Light, 02:26-03:08
220,2 December 2021,Deep, 03:08-03:26
221,2 December 2021,Light, 03:26-03:59
222,2 December 2021,REM, 03:59-04:29
223,2 December 2021,Light, 04:29-05:04
224,2 December 2021,Deep, 05:04-05:37
225,2 December 2021,REM, 05:37-06:20
226,2 December 2021,Light, 06:20-06:33
227,2 December 2021,Deep, 06:33-07:00
228,2 December 2021,Light, 07:00-07:12
229,2 December 2021,REM, 07:12-07:26
230,2 December 2021,Light, 07:26-07:36
231,2 December 2021,REM, 07:36-07:45
232,2 December 2021,REM, 07:36-07:45
233,2 December 2021,REM, 07:47-07:49
234,2 December 2021,REM, 07:47-07:49
235,2 December 2021,REM, 07:47-07:49
236,2 December 2021,REM, 07:53-07:59
237,2 December 2021,Light, 07:59-08:31
238,2 December 2021,Deep, 08:31-08:52
239,2 December 2021,Light, 08:52-09:14
240,2 December 2021,REM, 09:14-09:30
241,1 December 2021,Awake, 01:03-02:04
242,1 December 2021,Light, 02:04-02:25
243,1 December 2021,Deep, 02:25-03:07
244,1 December 2021,Light, 03:07-03:23
245,1 December 2021,Deep, 03:23-03:49
246,1 December 2021,Light, 03:49-04:01
247,1 December 2021,Deep, 04:01-04:39
248,1 December 2021,Light, 04:39-04:50
249,1 December 2021,REM, 04:50-05:05
250,1 December 2021,Awake, 05:05-05:11
251,1 December 2021,REM, 05:11-05:31
252,1 December 2021,Light, 05:31-05:50
253,1 December 2021,Deep, 05:50-06:16
254,1 December 2021,Light, 06:16-06:32
255,1 December 2021,Deep, 06:32-06:51
256,1 December 2021,REM, 06:51-07:21
257,1 December 2021,Light, 07:21-07:47
