Humidity,Light,Temperature,Time stamp,Date
63.6,310,19.4,2021-11-14 00:17:29.821,2021-11-14
63.0,0,19.4,2021-11-14 00:27:31.418,2021-11-14
64.0,0,19.4,2021-11-14 00:37:32.698,2021-11-14
64.5,0,19.2,2021-11-14 00:47:34.225,2021-11-14
64.4,0,19.3,2021-11-14 00:57:35.724,2021-11-14
64.5,0,19.3,2021-11-14 01:07:36.954,2021-11-14
65.1,0,19.2,2021-11-14 01:17:38.182,2021-11-14
65.3,0,19.2,2021-11-14 01:27:39.798,2021-11-14
65.3,0,19.2,2021-11-14 01:37:41.177,2021-11-14
65.5,0,19.1,2021-11-14 01:47:42.353,2021-11-14
65.2,0,19.1,2021-11-14 01:57:43.953,2021-11-14
65.2,0,19.1,2021-11-14 02:07:45.327,2021-11-14
65.6,0,19.0,2021-11-14 02:17:46.609,2021-11-14
65.7,0,19.1,2021-11-14 02:27:47.773,2021-11-14
66.0,0,19.0,2021-11-14 02:37:48.875,2021-11-14
66.2,0,19.0,2021-11-14 02:47:50.084,2021-11-14
66.6,0,18.9,2021-11-14 02:57:51.169,2021-11-14
67.0,0,19.0,2021-11-14 03:07:52.286,2021-11-14
67.1,0,19.0,2021-11-14 03:17:53.573,2021-11-14
65.7,0,18.9,2021-11-14 03:27:54.771,2021-11-14
68.0,0,18.9,2021-11-14 03:37:55.977,2021-11-14
67.9,0,18.9,2021-11-14 03:47:57.157,2021-11-14
68.3,0,18.9,2021-11-14 03:57:58.352,2021-11-14
68.2,0,18.9,2021-11-14 04:07:59.543,2021-11-14
68.0,0,18.9,2021-11-14 04:18:01.079,2021-11-14
68.0,0,19.0,2021-11-14 04:28:02.298,2021-11-14
68.6,0,19.0,2021-11-14 04:38:03.568,2021-11-14
68.5,0,18.9,2021-11-14 04:48:04.652,2021-11-14
68.7,0,18.9,2021-11-14 04:58:05.857,2021-11-14
69.0,0,18.9,2021-11-14 05:08:07.082,2021-11-14
68.6,0,18.9,2021-11-14 05:18:08.268,2021-11-14
68.9,0,18.9,2021-11-14 05:28:09.491,2021-11-14
69.4,0,18.9,2021-11-14 05:38:10.656,2021-11-14
69.2,0,18.9,2021-11-14 05:48:11.858,2021-11-14
69.0,0,18.9,2021-11-14 05:58:12.950,2021-11-14
69.7,0,19.2,2021-11-14 06:08:14.052,2021-11-14
69.0,0,19.9,2021-11-14 06:18:15.266,2021-11-14
67.1,0,20.6,2021-11-14 06:28:16.589,2021-11-14
