,Date,Pattern,Time
0,4 December 2021,Awake, 02:51-03:14
1,4 December 2021,Deep, 03:14-04:28
2,4 December 2021,REM, 04:28-04:40
3,4 December 2021,Light, 04:40-05:27
4,4 December 2021,Deep, 05:27-05:39
5,4 December 2021,Light, 05:39-05:45
6,4 December 2021,Awake, 05:45-05:52
7,4 December 2021,Light, 05:52-06:02
8,4 December 2021,REM, 06:02-06:44
9,4 December 2021,Light, 06:44-07:08
10,4 December 2021,Deep, 07:08-07:45
11,4 December 2021,REM, 07:45-08:49
12,3 December 2021,Awake, 00:16-01:11
13,3 December 2021,Light, 01:11-01:20
14,3 December 2021,Deep, 01:20-02:17
15,3 December 2021,Light, 02:17-02:29
16,3 December 2021,Deep, 02:29-03:24
17,3 December 2021,Light, 03:24-03:34
18,3 December 2021,Awake, 03:34-03:40
19,3 December 2021,Light, 03:40-04:19
20,3 December 2021,Deep, 04:19-04:46
21,3 December 2021,Light, 04:46-05:14
22,3 December 2021,Awake, 05:14-05:21
23,3 December 2021,Light, 05:21-05:36
24,3 December 2021,REM, 05:36-06:28
25,3 December 2021,Light, 06:28-06:51
26,3 December 2021,Deep, 06:51-07:05
27,3 December 2021,Light, 07:05-07:47
28,3 December 2021,REM, 07:47-08:13
29,3 December 2021,Light, 08:13-08:41
30,3 December 2021,Deep, 08:41-08:52
31,3 December 2021,Awake, 08:52-09:09
32,2 December 2021,Awake, 00:32-01:02
33,2 December 2021,Light, 01:02-01:04
34,2 December 2021,Awake, 01:04-01:11
35,2 December 2021,Light, 01:11-01:29
36,2 December 2021,Deep, 01:29-01:47
37,2 December 2021,Light, 01:47-01:57
38,2 December 2021,Deep, 01:57-02:26
39,2 December 2021,Light, 02:26-03:08
40,2 December 2021,Deep, 03:08-03:26
41,2 December 2021,Light, 03:26-03:59
42,2 December 2021,REM, 03:59-04:29
43,2 December 2021,Light, 04:29-05:04
44,2 December 2021,Deep, 05:04-05:37
45,2 December 2021,REM, 05:37-06:20
46,2 December 2021,Light, 06:20-06:33
47,2 December 2021,Deep, 06:33-07:00
48,2 December 2021,Light, 07:00-07:12
49,2 December 2021,REM, 07:12-07:26
50,2 December 2021,Light, 07:26-07:36
51,2 December 2021,REM, 07:36-07:45
